NDB_No,Shrt_Desc,Water_g,Energ_Kcal,Protein_g,Lipid_Tot_g,Ash_g,Carbohydrt_g,Fiber_TD_g,Sugar_Tot_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mg,Manganese_mg,Selenium_mcg,Vit_C_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Panto_Acid_mg,Vit_B6_mg,Folate_Tot_mcg,Folic_Acid_mcg,Food_Folate_mcg,Folate_DFE_mcg,Choline_Tot_mg,Vit_B12_mcg,Vit_A_IU,Vit_A_RAE,Retinol_mcg,Alpha_Carot_mcg,Beta_Carot_mcg,Beta_Crypt_mcg,Lycopene_mcg,Lut_and_Zea_mcg,Vit_E_mg,Vit_D_mcg,Vit_D_IU,Vit_K_mcg,FA_Sat_g,FA_Mono_g,FA_Poly_g,Cholestrl_mg,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
13284,"BEEF,RIB EYE,SML END (RIBS 10-12),LN,0"" FAT,SEL,RAW",71.33,149,21.17,6.57,0.93,0,0,0,10,1.94,20,157,297,52,5.28,0.076,0.012,16.5,0,0.076,0.166,3.624,0.257,0.302,6,0,6,6,,2.51,0,0,0,0,0,0,0,0,,,,,2.65,2.771,0.189,60,85,3 oz,,,37
13342,"BEEF,SNDWCH STEAKS,FLAKED,CHOPD,FORMED & THINLY SLICED,RAW",56.0,309,16.5,27.0,0.8,0,0,0,12,1.86,16,133,233,68,3.63,0.063,0.017,13,0,0.039,0.154,4.583,0.354,0.246,7,0,7,7,68.9,2.71,0,0,0,0,0,0,0,0,0.21,0.4,15,1.7,11.538,11.038,0.488,71,85,3 oz,56,1 steak,0
13411,"Beef, bottom round, roast,lean only, 0"" fat, choice, roasted",64.83,185,27.23,7.63,1.07,0,0,0,6,2.4,18,172,222,36,4.74,0.064,0.009,30.9,0,0.057,0.17,5.232,0.535,0.38,9,0,9,9,103.7,1.61,0,0,0,0,0,0,0,0,0.37,,,1.3,2.661,3.214,0.285,78,85,3 oz,515,"1 roast,  (yield from 627 g raw meat)",4
13464,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,1/8"" FAT,ALL GRDS,RAW",70.32,155,22.32,6.6,1.02,0,0,0,18,2.07,11,206,274,51,3.58,0.065,0.003,22,0,0.054,0.257,5.377,,0.689,3,0,3,3,56.4,1.95,7,2,2,0,0,0,0,0,0.26,0.1,3,1.3,2.557,2.84,0.353,58,85,3 oz,534,1 steak,35
13468,"BEEF,SHRT LOIN,PRTRHS STEAK,LN,1/8"" FAT,SEL,RAW",71.46,145,22.61,5.41,1.03,0,0,0,19,2.26,11,200,266,43,3.52,0.075,0.003,21.4,0,,0.23,5.325,,0.751,4,0,4,4,,1.98,12,4,4,0,0,0,0,0,0.13,0,2,1.2,2.051,2.15,0.285,57,85,3 oz,526,1 steak,37
13478,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,ALL GRDS,RAW",70.73,153,22.22,6.5,1.01,0,0,0,21,1.66,11,200,267,42,3.88,0.058,0.003,22.8,0,0.054,0.215,5.751,0.358,0.638,4,0,4,4,56.1,1.81,7,2,2,0,0,0,0,0,0.26,0.1,3,1.2,2.53,2.767,0.344,59,85,3 oz,460,1 steak,39
13482,"BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,SEL,RAW",71.86,144,22.41,5.34,1.02,0,0,0,23,1.77,12,214,284,57,4.01,0.054,0.002,21.8,0,0.058,0.2,5.73,0.375,0.644,4,0,4,4,58.9,1.84,7,2,2,0,0,0,0,0,0.23,0,2,1.2,2.152,2.282,0.298,59,85,3 oz,458,1 steak,41
13486,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,ALL GRDS,RAW",72.01,151,20.48,7.01,1,0,0,0,19,1.69,22,194,318,55,3.72,0.088,0.012,24.2,0,0.081,0.125,6.119,0.589,0.607,11,,11,,85.6,1.48,0,0,0,0,0,0,0,0,0.3,,,1.2,2.778,3.011,0.276,62,85,3 oz,1289,1 roast,4
13487,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,CHOIC,RAW",71.4,156,20.16,7.73,0.99,0,0,0,15,1.78,21,191,309,51,3.68,0.089,0.012,24.2,0,0.077,0.139,6.127,0.589,0.595,11,,11,,84.2,1.71,0,0,0,0,0,0,0,0,0.3,,,1.2,3.066,3.324,0.305,63,85,3 oz,1392,1 roast,4
13488,"BEEF,RND,TIP RND,RST,LN & FAT,0"" FAT,SEL,RAW",72.62,145,20.8,6.28,1.01,0,0,0,23,1.59,22,196,327,58,3.75,0.087,0.012,24.1,0,0.085,0.111,6.107,0.589,0.618,11,,11,,86.9,1.24,0,0,0,0,0,0,0,0,0.29,,,1.2,2.489,2.699,0.247,61,85,3 oz,1187,1 roast,3
13498,"BEEF,GROUND,70% LN MEAT / 30% FAT,RAW",54.3,332,14.35,30.0,0.7,0,0,0,24,1.64,14,132,218,66,3.57,0.05,0.009,13.5,0,0.044,0.151,3.382,0.395,0.278,9,0,9,9,46.8,2.07,14,4,4,0,0,0,0,0,0.17,0.1,3,2.9,11.754,14.171,0.697,78,113,4 oz,28.35,1 oz,0
